original address,latitude,longitude
"2 E Main St, Madison, WI 53703",43.074691,-89.384168
"Minnesota State Capitol, St Paul, MN 55155",44.955143,-93.102307
"500 E Capitol Ave, Pierre, SD 57501",44.36711,-100.346342
"North Dakota State Capitol, Bismarck, ND 58501",46.820947,-100.781564
"Montana State Capitol, 1301 E 6th Ave, Helena, MT 59601",46.585774,-112.018445
"Utah State Capitol, Salt Lake City, UT 84103",40.777357,-111.8882
"700 W Jefferson St, Boise, ID 83720",43.617822,-116.199519
"Washington State Capitol Bldg, 416 Sid Snyder Ave SW, Olympia, WA 98504",47.035722,-122.90483
"Oregon State Capitol, 900 Court St NE, Salem, OR 97301",44.938444,-123.030336
"L St & 10th St, Sacramento, CA 95814",38.578107,-121.494412
"Nevada State Capitol, Carson City, NV 89701",39.164058,-119.766128
"Arizona State Capitol, 1700 W Washington St, Phoenix, AZ 85007",33.447809,-112.097193
"New Mexico State Capitol, Santa Fe, NM 87501",35.686975,-105.937799
"200 E Colfax Ave, Denver, CO 80203",39.739478,-104.984595
"Wyoming State Capitol, Cheyenne, WY 82001",41.142036,-104.821378
"Nebraska State Capitol, 1445 K Street, Lincoln, NE 68509",40.80806,-96.699729
"Iowa State Capitol, 1007 E Grand Ave, Des Moines, IA 50319",41.591203,-93.603761
"300 SW 10th Ave, Topeka, KS 66612",39.046713,-95.678642
"Missouri State Capitol, Jefferson City, MO 65101",38.579235,-92.173006
"Illinois State Capitol, Springfield, IL 62756",39.798462,-89.655388
"Indiana State Capitol, Indianapolis, IN 46204",39.768711,-86.162856
"Kentucky State Capitol Building, 700 Capitol Avenue, Frankfort, KY 40601",38.186676,-84.875302
"Tennessee State Capitol, 600 Charlotte Avenue, Nashville, TN 37243",36.165821,-86.784243
"Arkansas State Capitol, 500 Woodlane Street, Little Rock, AR 72201",34.746602,-92.289161
"Oklahoma State Capitol, Oklahoma City, OK 73105",35.495753,-97.503955
"Texas Capitol, 1100 Congress Avenue, Austin, TX 78701",30.274665,-97.74035
"Louisiana State Capitol, Baton Rouge, LA 70802",30.457119,-91.187432
"400-498 N West St, Jackson, MS 39201",32.305034,-90.183058
"Alabama State Capitol, 600 Dexter Avenue, Montgomery, AL 36130",32.377738,-86.300262
"402 S Monroe St, Tallahassee, FL 32301",30.438114,-84.281289
"Georgia State Capitol, Atlanta, GA 30334",33.749052,-84.388331
"South Carolina State House, 1100 Gervais Street, Columbia, SC 29201",33.999729,-81.032936
"North Carolina State Capitol, Raleigh, NC 27601",35.780447,-78.639085
"Virginia State Capitol, Richmond, VA 23219",37.538812,-77.433595
"Maryland State House, 100 State Cir, Annapolis, MD 21401",38.978829,-76.490974
"Legislative Hall: The State Capitol, Legislative Avenue, Dover, DE 19901",39.155632,-75.519773
"New Jersey State House, Trenton, NJ 08608",40.220171,-74.770143
"Connecticut State Capitol, 210 Capitol Ave, Hartford, CT 06106",41.764128,-72.682274
"Rhode Island State House, 82 Smith Street, Providence, RI 02903",41.831057,-71.414956
"Massachusetts State House, Boston, MA 02108",42.35876,-71.063803
"State House, 107 North Main Street, Concord, NH 03303",43.287703,-71.604024
"Maine State House, Augusta, ME 04330",44.307174,-69.781827
"Vermont State House, 115 State Street, Montpelier, VT 05633",44.262575,-72.580479
"New York State Capitol, State St. and Washington Ave, Albany, NY 12224",42.653469,-73.758634
"Pennsylvania State Capitol Building, North 3rd Street, Harrisburg, PA 17120",40.264415,-76.883694
"West Virginia State Capitol, Charleston, WV 25317",38.336358,-81.612156
"Ohio State Capitol, 1 Capitol Square, Columbus, OH 43215",39.961633,-82.998954
"Michigan State Capitol, Lansing, MI 48933",42.73361,-84.555348
"2 E Main St, Madison, WI 53703",43.074691,-89.384168
